WARNING:__main__:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[rank7]:[W418 14:00:07.247801404 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 7]  using GPU 7 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank4]:[W418 14:00:08.785801381 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 4]  using GPU 4 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank5]:[W418 14:00:08.915359402 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 5]  using GPU 5 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W418 14:00:08.946284975 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank1]:[W418 14:00:08.997226823 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank2]:[W418 14:00:08.128834773 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank3]:[W418 14:00:08.170829295 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank6]:[W418 14:00:08.190762146 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 6]  using GPU 6 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/ours_clip/runs/ours_10per/swanlog/run-2026
0418_140025-4bbvpr2fj0tpydyv30lbp
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run ours_10per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at 
https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/4bbvpr2fj0tpydyv30lbp
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[stage1] epoch 1/100 step 1 | loss 1033900.6421 | w [15.0, 8.0, 1.0] | train det 3.8005 seg 2.5949 cnt 1033822.8750
[stage1] epoch 1/100 step 2 | loss 1138007.9401 | w [15.0, 8.0, 1.0] | train det 3.5499 seg 2.3365 cnt 1137936.0000
[stage1] epoch 1/100 step 3 | loss 910015.5942 | w [15.0, 8.0, 1.0] | train det 2.3433 seg 1.9618 cnt 909964.7500
[stage1] epoch 1/100 step 4 | loss 804372.0579 | w [15.0, 8.0, 1.0] | train det 1.5597 seg 1.8329 cnt 804334.0000
[stage1] epoch 1/100 step 5 | loss 743376.1136 | w [15.0, 8.0, 1.0] | train det 1.2653 seg 1.7511 cnt 743343.1250
[stage1] epoch 1/100 step 6 | loss 650958.5555 | w [15.0, 8.0, 1.0] | train det 0.9516 seg 2.1290 cnt 650927.2500
[stage1] epoch 1/100 step 7 | loss 595175.9618 | w [15.0, 8.0, 1.0] | train det 0.6920 seg 1.9166 cnt 595150.2500
[stage1] epoch 1/100 step 8 | loss 538011.5500 | w [15.0, 8.0, 1.0] | train det 1.2234 seg 1.9546 cnt 537977.5625
[stage1] epoch 1/100 step 9 | loss 479595.6186 | w [15.0, 8.0, 1.0] | train det 1.0375 seg 1.7648 cnt 479565.9375
[stage1] epoch 1/100 step 10 | loss 472092.4319 | w [15.0, 8.0, 1.0] | train det 3.7634 seg 1.3219 cnt 472025.4062
[stage1] epoch 1/100 step 11 | loss 415264.8619 | w [15.0, 8.0, 1.0] | train det 0.9210 seg 1.0683 cnt 415242.5000
[stage1] epoch 1/100 step 12 | loss 403978.9096 | w [15.0, 8.0, 1.0] | train det 0.8024 seg 1.4334 cnt 403955.4062
[stage1] epoch 1/100 step 13 | loss 349074.4693 | w [15.0, 8.0, 1.0] | train det 1.2818 seg 0.9755 cnt 349047.4375
[stage1] epoch 1/100 step 14 | loss 300504.7713 | w [15.0, 8.0, 1.0] | train det 0.7956 seg 1.2687 cnt 300482.6875
[stage1] epoch 1/100 step 15 | loss 286451.7075 | w [15.0, 8.0, 1.0] | train det 1.2198 seg 0.8325 cnt 286426.7500
[stage1] epoch 1/100 step 16 | loss 265042.5037 | w [15.0, 8.0, 1.0] | train det 0.8616 seg 1.0216 cnt 265021.4062
[stage1] epoch 1/100 step 17 | loss 241505.3909 | w [15.0, 8.0, 1.0] | train det 0.7066 seg 1.4094 cnt 241483.5156
[stage1] epoch 1/100 step 18 | loss 221022.4327 | w [15.0, 8.0, 1.0] | train det 1.0959 seg 1.3196 cnt 220995.4375
[stage1] epoch 1/100 step 19 | loss 212366.4883 | w [15.0, 8.0, 1.0] | train det 0.9455 seg 0.8565 cnt 212345.4531
[stage1] epoch 1/100 step 20 | loss 200148.7357 | w [15.0, 8.0, 1.0] | train det 0.8808 seg 1.4053 cnt 200124.2812
[stage1] epoch 1/100 step 21 | loss 166319.8961 | w [15.0, 8.0, 1.0] | train det 0.9546 seg 0.8710 cnt 166298.6094
[stage1] epoch 1/100 step 22 | loss 164307.7036 | w [15.0, 8.0, 1.0] | train det 1.1640 seg 1.3449 cnt 164279.4844
[stage1] epoch 1/100 step 23 | loss 147239.9628 | w [15.0, 8.0, 1.0] | train det 0.7817 seg 1.0844 cnt 147219.5625
[stage1] epoch 1/100 step 24 | loss 136941.2368 | w [15.0, 8.0, 1.0] | train det 0.6045 seg 0.4879 cnt 136928.2656
[stage1] epoch 1/100 step 25 | loss 126561.5595 | w [15.0, 8.0, 1.0] | train det 0.4560 seg 0.9376 cnt 126547.2188
