WARNING:__main__:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[rank4]:[W418 15:03:46.073824887 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 4]  using GPU 4 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W418 15:03:46.204541862 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank1]:[W418 15:03:46.280780650 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank3]:[W418 15:03:46.295377046 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank5]:[W418 15:03:46.372416336 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 5]  using GPU 5 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank6]:[W418 15:03:46.523719735 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 6]  using GPU 6 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank2]:[W418 15:03:46.524401185 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank7]:[W418 15:03:46.531792034 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 7]  using GPU 7 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
swanlab: swanlab version 0.7.15 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/ours_mae/runs/115_mainonly_10per/swanlog/r
un-20260418_150359-b89r10hge9snlmsozy1i2
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 115_mainonly_10per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at 
https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/b89r10hge9snlmsozy1i2
[mae] fallback to local config+bin load for torch<2.6: /data/xiangyuyue/ULLM-zf/fsl-20260209/pretrained/facebook_vit-mae-large
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[stage1] epoch 1/100 step 1 | loss 1109839.5217 | w [15.0, 8.0, 1.0] | train det 4.0409 seg 2.5510 cnt 1109758.5000
[stage1] epoch 1/100 step 2 | loss 979887.2594 | w [15.0, 8.0, 1.0] | train det 3.3745 seg 2.3537 cnt 979817.8125
[stage1] epoch 1/100 step 3 | loss 874603.5121 | w [15.0, 8.0, 1.0] | train det 3.1174 seg 2.2657 cnt 874538.6250
[stage1] epoch 1/100 step 4 | loss 833205.7614 | w [15.0, 8.0, 1.0] | train det 2.2819 seg 2.1369 cnt 833154.4375
[stage1] epoch 1/100 step 5 | loss 748226.2083 | w [15.0, 8.0, 1.0] | train det 2.3410 seg 2.1289 cnt 748174.0625
[stage1] epoch 1/100 step 6 | loss 701326.6882 | w [15.0, 8.0, 1.0] | train det 1.3737 seg 1.6821 cnt 701292.6250
[stage1] epoch 1/100 step 7 | loss 619973.7499 | w [15.0, 8.0, 1.0] | train det 1.3672 seg 1.8896 cnt 619938.1250
[stage1] epoch 1/100 step 8 | loss 624243.5476 | w [15.0, 8.0, 1.0] | train det 1.1601 seg 1.7058 cnt 624212.5000
[stage1] epoch 1/100 step 9 | loss 573820.7793 | w [15.0, 8.0, 1.0] | train det 1.0546 seg 1.7685 cnt 573790.8125
[stage1] epoch 1/100 step 10 | loss 570235.5373 | w [15.0, 8.0, 1.0] | train det 1.0418 seg 1.4341 cnt 570208.4375
[stage1] epoch 1/100 step 11 | loss 498733.8853 | w [15.0, 8.0, 1.0] | train det 1.2902 seg 1.4416 cnt 498703.0000
[stage1] epoch 1/100 step 12 | loss 465899.9031 | w [15.0, 8.0, 1.0] | train det 0.9387 seg 1.4660 cnt 465874.0938
[stage1] epoch 1/100 step 13 | loss 431068.3373 | w [15.0, 8.0, 1.0] | train det 0.8116 seg 1.5750 cnt 431043.5625
[stage1] epoch 1/100 step 14 | loss 382253.8945 | w [15.0, 8.0, 1.0] | train det 0.9395 seg 1.5455 cnt 382227.4375
[stage1] epoch 1/100 step 15 | loss 347485.9437 | w [15.0, 8.0, 1.0] | train det 1.0008 seg 1.2297 cnt 347461.0938
[stage1] epoch 1/100 step 16 | loss 339848.3535 | w [15.0, 8.0, 1.0] | train det 1.0446 seg 1.4645 cnt 339820.9688
[stage1] epoch 1/100 step 17 | loss 320931.2632 | w [15.0, 8.0, 1.0] | train det 0.8804 seg 1.5071 cnt 320906.0000
[stage1] epoch 1/100 step 18 | loss 310225.7679 | w [15.0, 8.0, 1.0] | train det 1.3436 seg 1.4674 cnt 310193.8750
[stage1] epoch 1/100 step 19 | loss 253862.7341 | w [15.0, 8.0, 1.0] | train det 1.9226 seg 1.5259 cnt 253821.6875
[stage1] epoch 1/100 step 20 | loss 258245.2305 | w [15.0, 8.0, 1.0] | train det 0.8926 seg 1.4646 cnt 258220.1250
[stage1] epoch 1/100 step 21 | loss 236959.7028 | w [15.0, 8.0, 1.0] | train det 0.7198 seg 1.4609 cnt 236937.2188
[stage1] epoch 1/100 step 22 | loss 257746.3946 | w [15.0, 8.0, 1.0] | train det 0.8456 seg 3.2686 cnt 257707.5625
[stage1] epoch 1/100 | train 533573.8171 | det 1.5356 seg 1.7879 cnt 533536.4801
[stage1] epoch 2/100 step 1 | loss 215587.7933 | w [15.0, 8.0, 1.0] | train det 0.8178 seg 1.4916 cnt 215563.5938
[stage1] epoch 2/100 step 2 | loss 199626.9513 | w [15.0, 8.0, 1.0] | train det 1.3604 seg 1.3220 cnt 199595.9688
[stage1] epoch 2/100 step 3 | loss 177452.3674 | w [15.0, 8.0, 1.0] | train det 1.0912 seg 1.4881 cnt 177424.0938
[stage1] epoch 2/100 step 4 | loss 158151.2430 | w [15.0, 8.0, 1.0] | train det 0.7268 seg 1.0036 cnt 158132.3125
