WARNING:__main__:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[rank0]:[W419 20:55:37.728140816 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank1]:[W419 20:55:37.157864575 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank5]:[W419 20:55:37.222653289 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 5]  using GPU 5 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank4]:[W419 20:55:37.408564693 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 4]  using GPU 4 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank7]:[W419 20:55:37.416254971 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 7]  using GPU 7 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank3]:[W419 20:55:37.423137595 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank2]:[W419 20:55:37.423867228 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank6]:[W419 20:55:37.423928456 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 6]  using GPU 6 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
swanlab: swanlab version 0.7.15 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/ours_vit/runs/115_mainonly_10per/swanlog/r
un-20260419_205553-umjo41e5f8rrjnafa09g3
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 115_mainonly_10per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at 
https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/umjo41e5f8rrjnafa09g3
'(ReadTimeoutError("HTTPSConnectionPool(host='hf-mirror.com', port=443): Read timed out. (read timeout=10)"), '(Request ID: e88b0252-23db-4a6b-8611-3ccc791574cc)')' thrown while requesting HEAD https://hf-mirror.com/timm/vit_large_patch16_224.orig_in21k/resolve/main/model.safetensors
Retrying in 1s [Retry 1/5].
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[stage1] epoch 1/100 step 1 | loss 965926.2785 | w [15.0, 8.0, 1.0] | train det 3.8510 seg 2.3376 cnt 965849.8125
[stage1] epoch 1/100 step 2 | loss 1361614.8915 | w [15.0, 8.0, 1.0] | train det 4.0367 seg 2.2301 cnt 1361536.5000
[stage1] epoch 1/100 step 3 | loss 886276.7279 | w [15.0, 8.0, 1.0] | train det 3.4186 seg 2.1343 cnt 886208.3750
[stage1] epoch 1/100 step 4 | loss 874589.3671 | w [15.0, 8.0, 1.0] | train det 2.9957 seg 1.7570 cnt 874530.3750
[stage1] epoch 1/100 step 5 | loss 800230.5437 | w [15.0, 8.0, 1.0] | train det 2.8347 seg 1.7997 cnt 800173.6250
[stage1] epoch 1/100 step 6 | loss 716309.1980 | w [15.0, 8.0, 1.0] | train det 2.0983 seg 1.9889 cnt 716261.8125
[stage1] epoch 1/100 step 7 | loss 695292.3661 | w [15.0, 8.0, 1.0] | train det 1.4781 seg 1.8525 cnt 695255.3750
[stage1] epoch 1/100 step 8 | loss 606200.3515 | w [15.0, 8.0, 1.0] | train det 1.2993 seg 1.8265 cnt 606166.2500
[stage1] epoch 1/100 step 9 | loss 570362.6811 | w [15.0, 8.0, 1.0] | train det 1.0050 seg 1.6930 cnt 570334.0625
[stage1] epoch 1/100 step 10 | loss 541370.3869 | w [15.0, 8.0, 1.0] | train det 2.4401 seg 1.4888 cnt 541321.8750
[stage1] epoch 1/100 step 11 | loss 518113.0752 | w [15.0, 8.0, 1.0] | train det 0.8954 seg 1.3383 cnt 518088.9375
[stage1] epoch 1/100 step 12 | loss 474941.2363 | w [15.0, 8.0, 1.0] | train det 0.8053 seg 1.6601 cnt 474915.8750
[stage1] epoch 1/100 step 13 | loss 435256.1643 | w [15.0, 8.0, 1.0] | train det 1.0695 seg 1.3981 cnt 435228.9375
[stage1] epoch 1/100 step 14 | loss 389706.1700 | w [15.0, 8.0, 1.0] | train det 0.9834 seg 1.5172 cnt 389679.2812
[stage1] epoch 1/100 step 15 | loss 373640.4393 | w [15.0, 8.0, 1.0] | train det 1.2832 seg 1.0551 cnt 373612.7500
[stage1] epoch 1/100 step 16 | loss 346475.3806 | w [15.0, 8.0, 1.0] | train det 1.1197 seg 1.1902 cnt 346449.0625
[stage1] epoch 1/100 step 17 | loss 331058.1069 | w [15.0, 8.0, 1.0] | train det 0.9748 seg 1.2402 cnt 331033.5625
[stage1] epoch 1/100 step 18 | loss 310987.7991 | w [15.0, 8.0, 1.0] | train det 1.4488 seg 1.7349 cnt 310952.1875
[stage1] epoch 1/100 step 19 | loss 307204.3070 | w [15.0, 8.0, 1.0] | train det 1.0820 seg 1.0877 cnt 307179.3750
[stage1] epoch 1/100 step 20 | loss 262901.3948 | w [15.0, 8.0, 1.0] | train det 1.0031 seg 1.2700 cnt 262876.1875
[stage1] epoch 1/100 step 21 | loss 258101.0265 | w [15.0, 8.0, 1.0] | train det 1.2649 seg 1.0165 cnt 258073.9219
[stage1] epoch 1/100 step 22 | loss 221591.1204 | w [15.0, 8.0, 1.0] | train det 1.5275 seg 1.4167 cnt 221556.8750
[stage1] epoch 1/100 step 23 | loss 248040.6868 | w [15.0, 8.0, 1.0] | train det 0.9712 seg 1.5422 cnt 248013.7812
[stage1] epoch 1/100 step 24 | loss 187850.1596 | w [15.0, 8.0, 1.0] | train det 0.7592 seg 0.8680 cnt 187831.8281
[stage1] epoch 1/100 step 25 | loss 176992.8025 | w [15.0, 8.0, 1.0] | train det 0.8015 seg 1.2517 cnt 176970.7656
[stage1] epoch 1/100 step 26 | loss 174022.5442 | w [15.0, 8.0, 1.0] | train det 0.6204 seg 1.1918 cnt 174003.7031
[stage1] epoch 1/100 step 27 | loss 156862.5734 | w [15.0, 8.0, 1.0] | train det 0.5715 seg 0.8790 cnt 156846.9688
[stage1] epoch 1/100 step 28 | loss 145797.5078 | w [15.0, 8.0, 1.0] | train det 1.0476 seg 1.1559 cnt 145772.5469
[stage1] epoch 1/100 step 29 | loss 138334.4664 | w [15.0, 8.0, 1.0] | train det 0.5434 seg 1.3930 cnt 138315.1719
[stage1] epoch 1/100 step 30 | loss 118139.3394 | w [15.0, 8.0, 1.0] | train det 1.0056 seg 0.8992 cnt 118117.0625
[stage1] epoch 1/100 step 31 | loss 118344.1995 | w [15.0, 8.0, 1.0] | train det 1.2526 seg 1.0142 cnt 118317.2969
[stage1] epoch 1/100 step 32 | loss 112872.5416 | w [15.0, 8.0, 1.0] | train det 0.7339 seg 1.2757 cnt 112851.3281
[stage1] epoch 1/100 step 33 | loss 101453.4615 | w [15.0, 8.0, 1.0] | train det 0.6713 seg 1.2677 cnt 101433.2500
[stage1] epoch 1/100 step 34 | loss 93418.5383 | w [15.0, 8.0, 1.0] | train det 0.6270 seg 1.5713 cnt 93396.5625
[stage1] epoch 1/100 step 35 | loss 92539.1110 | w [15.0, 8.0, 1.0] | train det 1.0727 seg 1.1607 cnt 92513.7344
[stage1] epoch 1/100 step 36 | loss 85569.3604 | w [15.0, 8.0, 1.0] | train det 0.5718 seg 0.8948 cnt 85553.6250
[stage1] epoch 1/100 step 37 | loss 79089.9329 | w [15.0, 8.0, 1.0] | train det 1.0375 seg 0.7885 cnt 79068.0625
[stage1] epoch 1/100 step 38 | loss 67074.5934 | w [15.0, 8.0, 1.0] | train det 1.5717 seg 1.1233 cnt 67042.0312
[stage1] epoch 1/100 step 39 | loss 62102.8702 | w [15.0, 8.0, 1.0] | train det 0.7933 seg 1.3303 cnt 62080.3281
[stage1] epoch 1/100 step 40 | loss 58006.2240 | w [15.0, 8.0, 1.0] | train det 0.4067 seg 1.0076 cnt 57992.0625
[stage1] epoch 1/100 step 41 | loss 57182.5527 | w [15.0, 8.0, 1.0] | train det 0.6308 seg 1.0177 cnt 57164.9492
[stage1] epoch 1/100 step 42 | loss 59367.7493 | w [15.0, 8.0, 1.0] | train det 0.3414 seg 1.2118 cnt 59352.9336
[stage1] epoch 1/100 step 43 | loss 60673.9949 | w [15.0, 8.0, 1.0] | train det 0.2258 seg 3.3607 cnt 60643.7227
[stage1] epoch 1/100 | train 340508.9354 | det 1.2831 seg 1.4242 cnt 340478.2961
[stage1] epoch 2/100 step 1 | loss 58426.9502 | w [15.0, 8.0, 1.0] | train det 0.5195 seg 1.1955 cnt 58409.5938
[stage1] epoch 2/100 step 2 | loss 42025.4971 | w [15.0, 8.0, 1.0] | train det 0.2993 seg 1.1211 cnt 42012.0391
[stage1] epoch 2/100 step 3 | loss 47260.5236 | w [15.0, 8.0, 1.0] | train det 1.8231 seg 0.9390 cnt 47225.6641
[stage1] epoch 2/100 step 4 | loss 42648.9302 | w [15.0, 8.0, 1.0] | train det 0.2751 seg 0.9134 cnt 42637.4961
[stage1] epoch 2/100 step 5 | loss 39391.9624 | w [15.0, 8.0, 1.0] | train det 0.8045 seg 0.6738 cnt 39374.5039
[stage1] epoch 2/100 step 6 | loss 40441.6998 | w [15.0, 8.0, 1.0] | train det 0.6031 seg 1.1774 cnt 40423.2344
