swanlab: swanlab version 0.7.15 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/runs/115_mainonly_10per/swanlog/run-20260412_165611-ipkubxipwutocey6s4wf
c
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 115_mainonly_10per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/ipkubxipwutocey6s4wfc
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[main] epoch 1/150 step 1 | loss 1129350.6711 | w [15.0, 8.0, 1.0] | train det 3.8389 seg 2.4328 cnt 1129273.6250 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 2 | loss 1318973.8411 | w [15.0, 8.0, 1.0] | train det 3.5973 seg 2.1257 cnt 1318902.8750 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 3 | loss 1008313.6170 | w [15.0, 8.0, 1.0] | train det 3.4098 seg 1.7932 cnt 1008248.1250 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 4 | loss 987552.9511 | w [15.0, 8.0, 1.0] | train det 3.2143 seg 0.9045 cnt 987497.5000 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 5 | loss 903210.3012 | w [15.0, 8.0, 1.0] | train det 2.7809 seg 1.8234 cnt 903154.0000 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 6 | loss 814299.7098 | w [15.0, 8.0, 1.0] | train det 2.4640 seg 1.2266 cnt 814252.9375 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 7 | loss 783170.0078 | w [15.0, 8.0, 1.0] | train det 2.1869 seg 1.2442 cnt 783127.2500 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 8 | loss 695562.1019 | w [15.0, 8.0, 1.0] | train det 1.2597 seg 1.1976 cnt 695533.6250 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 9 | loss 650079.5515 | w [15.0, 8.0, 1.0] | train det 1.2132 seg 1.1771 cnt 650051.9375 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 10 | loss 600461.5533 | w [15.0, 8.0, 1.0] | train det 0.9653 seg 0.8999 cnt 600439.8750 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 11 | loss 584395.3148 | w [15.0, 8.0, 1.0] | train det 1.0382 seg 1.0538 cnt 584371.3125 | pairs det_seg 0 det_cnt 0 seg_cnt 0
