block_external,block_internal,expert_index,pair,task_a,task_b,cosine,valid,task_a_grad_norm,task_b_grad_norm
6,5,0,det_seg,det,seg,0.00410222,1,0.00034642,0.02102275
6,5,0,det_cnt,det,cnt,-0.00352196,1,0.00034642,0.11236916
6,5,0,seg_cnt,seg,cnt,-0.01492970,1,0.02102275,0.11236916
6,5,1,det_seg,det,seg,0.02100227,1,0.00001216,0.11878346
6,5,1,det_cnt,det,cnt,-0.00589632,1,0.00001216,0.43711588
6,5,1,seg_cnt,seg,cnt,-0.00935911,1,0.11878346,0.43711588
6,5,2,det_seg,det,seg,0.02451248,1,0.00171723,0.04244210
6,5,2,det_cnt,det,cnt,-0.00136179,1,0.00171723,0.13179508
6,5,2,seg_cnt,seg,cnt,0.02353831,1,0.04244210,0.13179508
6,5,3,det_seg,det,seg,0.00000000,0,0.00101051,0.00000000
6,5,3,det_cnt,det,cnt,0.04192637,1,0.00101051,0.09795792
6,5,3,seg_cnt,seg,cnt,0.00000000,0,0.00000000,0.09795792
6,5,4,det_seg,det,seg,0.00000000,0,0.02701309,0.00000000
6,5,4,det_cnt,det,cnt,-0.00015780,1,0.02701309,0.36607724
6,5,4,seg_cnt,seg,cnt,0.00000000,0,0.00000000,0.36607724
6,5,5,det_seg,det,seg,0.01483295,1,0.00343278,0.00058843
6,5,5,det_cnt,det,cnt,-0.01541335,1,0.00343278,0.08842738
6,5,5,seg_cnt,seg,cnt,-0.04219647,1,0.00058843,0.08842738
