WARNING:__main__:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[rank0]:[W421 19:02:46.003004487 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank7]:[W421 19:02:46.040667827 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 7]  using GPU 7 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank2]:[W421 19:02:46.103617221 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank5]:[W421 19:02:46.137821472 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 5]  using GPU 5 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank1]:[W421 19:02:46.304320985 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank3]:[W421 19:02:46.326150894 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank4]:[W421 19:02:46.348006600 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 4]  using GPU 4 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank6]:[W421 19:02:46.367842763 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 6]  using GPU 6 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
swanlab: swanlab version 0.7.16 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/runs/415_100per_s1e150_s2e50_p6_s6_r8/swan
log/run-20260421_190302-y2jcidjoth2eb6pqxrbbj
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 415_100per_s1e150_s2e50_p6_s6_r8 to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at 
https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/y2jcidjoth2eb6pqxrbbj
[train] Backbone params: 0
[train] LoRA-MoE params: 10321920
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[stage1] epoch 1/150 step 1 | loss 904565.5373 | w [15.0, 8.0, 1.0] | train det 3.7721 seg 2.6195 cnt 904488.0000
[stage1] epoch 1/150 step 2 | loss 1149707.7459 | w [15.0, 8.0, 1.0] | train det 3.6378 seg 2.1161 cnt 1149636.2500
[stage1] epoch 1/150 step 3 | loss 914720.9397 | w [15.0, 8.0, 1.0] | train det 3.3935 seg 0.8172 cnt 914663.5000
[stage1] epoch 1/150 step 4 | loss 811462.2843 | w [15.0, 8.0, 1.0] | train det 3.0996 seg 0.5284 cnt 811411.5625
[stage1] epoch 1/150 step 5 | loss 723389.1046 | w [15.0, 8.0, 1.0] | train det 2.6903 seg 1.8516 cnt 723333.9375
[stage1] epoch 1/150 step 6 | loss 660642.3177 | w [15.0, 8.0, 1.0] | train det 2.2294 seg 1.0081 cnt 660600.8125
[stage1] epoch 1/150 step 7 | loss 608487.6434 | w [15.0, 8.0, 1.0] | train det 1.7558 seg 1.0617 cnt 608452.8125
[stage1] epoch 1/150 step 8 | loss 588344.0344 | w [15.0, 8.0, 1.0] | train det 1.3670 seg 1.0037 cnt 588315.5000
[stage1] epoch 1/150 step 9 | loss 537694.0504 | w [15.0, 8.0, 1.0] | train det 1.1890 seg 0.8785 cnt 537669.1875
[stage1] epoch 1/150 step 10 | loss 508432.0589 | w [15.0, 8.0, 1.0] | train det 1.0050 seg 0.7558 cnt 508410.9375
[stage1] epoch 1/150 step 11 | loss 507020.8936 | w [15.0, 8.0, 1.0] | train det 0.7677 seg 1.1566 cnt 507000.1250
[stage1] epoch 1/150 step 12 | loss 405060.0992 | w [15.0, 8.0, 1.0] | train det 0.8288 seg 0.7436 cnt 405041.7188
[stage1] epoch 1/150 step 13 | loss 382119.1906 | w [15.0, 8.0, 1.0] | train det 0.7878 seg 0.6912 cnt 382101.8438
[stage1] epoch 1/150 step 14 | loss 353970.1809 | w [15.0, 8.0, 1.0] | train det 0.8318 seg 0.8379 cnt 353951.0000
[stage1] epoch 1/150 step 15 | loss 346194.3889 | w [15.0, 8.0, 1.0] | train det 0.9748 seg 0.7444 cnt 346173.8125
[stage1] epoch 1/150 step 16 | loss 316444.6035 | w [15.0, 8.0, 1.0] | train det 0.7414 seg 0.9588 cnt 316425.8125
[stage1] epoch 1/150 step 17 | loss 292464.2576 | w [15.0, 8.0, 1.0] | train det 0.9574 seg 1.1667 cnt 292440.5625
[stage1] epoch 1/150 step 18 | loss 276752.0155 | w [15.0, 8.0, 1.0] | train det 0.8872 seg 0.4712 cnt 276734.9375
[stage1] epoch 1/150 step 19 | loss 242092.6901 | w [15.0, 8.0, 1.0] | train det 0.9961 seg 0.7186 cnt 242072.0000
[stage1] epoch 1/150 step 20 | loss 230231.7198 | w [15.0, 8.0, 1.0] | train det 0.8801 seg 0.6487 cnt 230213.3281
[stage1] epoch 1/150 step 21 | loss 224826.7892 | w [15.0, 8.0, 1.0] | train det 0.8141 seg 0.6660 cnt 224809.2500
[stage1] epoch 1/150 step 22 | loss 202819.1869 | w [15.0, 8.0, 1.0] | train det 0.8649 seg 0.7415 cnt 202800.2812
[stage1] epoch 1/150 step 23 | loss 189766.7149 | w [15.0, 8.0, 1.0] | train det 0.9016 seg 0.6724 cnt 189747.8125
[stage1] epoch 1/150 step 24 | loss 165679.7844 | w [15.0, 8.0, 1.0] | train det 1.1464 seg 0.6555 cnt 165657.3438
[stage1] epoch 1/150 step 25 | loss 165476.9407 | w [15.0, 8.0, 1.0] | train det 0.8193 seg 1.3236 cnt 165454.0625
[stage1] epoch 1/150 step 26 | loss 143473.2260 | w [15.0, 8.0, 1.0] | train det 0.7843 seg 0.3409 cnt 143458.7344
[stage1] epoch 1/150 step 27 | loss 132004.3675 | w [15.0, 8.0, 1.0] | train det 0.8001 seg 0.7683 cnt 131986.2188
[stage1] epoch 1/150 step 28 | loss 139601.2979 | w [15.0, 8.0, 1.0] | train det 0.8487 seg 0.7232 cnt 139582.7812
[stage1] epoch 1/150 step 29 | loss 138684.9808 | w [15.0, 8.0, 1.0] | train det 1.0047 seg 0.3462 cnt 138667.1406
[stage1] epoch 1/150 step 30 | loss 108987.4107 | w [15.0, 8.0, 1.0] | train det 0.8544 seg 0.7384 cnt 108968.6875
[stage1] epoch 1/150 step 31 | loss 104790.6709 | w [15.0, 8.0, 1.0] | train det 0.6280 seg 0.6612 cnt 104775.9609
[stage1] epoch 1/150 step 32 | loss 99022.2366 | w [15.0, 8.0, 1.0] | train det 0.7623 seg 1.0827 cnt 99002.1406
[stage1] epoch 1/150 step 33 | loss 88937.9401 | w [15.0, 8.0, 1.0] | train det 1.3645 seg 0.8979 cnt 88910.2891
[stage1] epoch 1/150 step 34 | loss 82621.1574 | w [15.0, 8.0, 1.0] | train det 0.6692 seg 0.9436 cnt 82603.5703
[stage1] epoch 1/150 step 35 | loss 84318.5958 | w [15.0, 8.0, 1.0] | train det 0.6366 seg 0.5898 cnt 84304.3281
