WARNING:__main__:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[rank6]:[W422 07:45:51.211123066 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 6]  using GPU 6 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank4]:[W422 07:45:51.380179494 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 4]  using GPU 4 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank3]:[W422 07:45:51.424153719 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank1]:[W422 07:45:51.599938989 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank7]:[W422 07:45:51.609249188 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 7]  using GPU 7 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W422 07:45:51.609368268 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank2]:[W422 07:45:51.610688067 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank5]:[W422 07:45:51.652220748 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 5]  using GPU 5 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
swanlab: swanlab version 0.7.16 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/runs/415_100per_s1e150_s2e50_p6_s9_r8/swan
log/run-20260422_074601-q1xne7a8o2bould2ro5o4
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 415_100per_s1e150_s2e50_p6_s9_r8 to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at 
https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/q1xne7a8o2bould2ro5o4
[train] Backbone params: 0
[train] LoRA-MoE params: 11722752
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[stage1] epoch 1/150 step 1 | loss 959880.2076 | w [15.0, 8.0, 1.0] | train det 3.8268 seg 2.3664 cnt 959803.8750
[stage1] epoch 1/150 step 2 | loss 1318467.1373 | w [15.0, 8.0, 1.0] | train det 3.6685 seg 2.0294 cnt 1318395.8750
[stage1] epoch 1/150 step 3 | loss 935163.4310 | w [15.0, 8.0, 1.0] | train det 3.4995 seg 0.7891 cnt 935104.6250
[stage1] epoch 1/150 step 4 | loss 786333.8856 | w [15.0, 8.0, 1.0] | train det 3.2366 seg 0.5811 cnt 786280.6875
[stage1] epoch 1/150 step 5 | loss 734440.0397 | w [15.0, 8.0, 1.0] | train det 2.8534 seg 1.9283 cnt 734381.8125
[stage1] epoch 1/150 step 6 | loss 708408.4199 | w [15.0, 8.0, 1.0] | train det 2.4537 seg 1.0455 cnt 708363.2500
[stage1] epoch 1/150 step 7 | loss 641215.9297 | w [15.0, 8.0, 1.0] | train det 2.0562 seg 1.1593 cnt 641175.8125
[stage1] epoch 1/150 step 8 | loss 571033.8568 | w [15.0, 8.0, 1.0] | train det 1.5754 seg 0.9501 cnt 571002.6250
[stage1] epoch 1/150 step 9 | loss 542230.2749 | w [15.0, 8.0, 1.0] | train det 1.2609 seg 0.8577 cnt 542204.5000
[stage1] epoch 1/150 step 10 | loss 496600.4397 | w [15.0, 8.0, 1.0] | train det 0.9874 seg 0.7856 cnt 496579.3438
[stage1] epoch 1/150 step 11 | loss 474333.3801 | w [15.0, 8.0, 1.0] | train det 0.7895 seg 1.1531 cnt 474312.3125
[stage1] epoch 1/150 step 12 | loss 414297.7072 | w [15.0, 8.0, 1.0] | train det 0.7483 seg 0.7674 cnt 414280.3438
[stage1] epoch 1/150 step 13 | loss 389344.4677 | w [15.0, 8.0, 1.0] | train det 0.8346 seg 0.6537 cnt 389326.7188
[stage1] epoch 1/150 step 14 | loss 377863.5383 | w [15.0, 8.0, 1.0] | train det 0.8071 seg 0.8274 cnt 377844.8125
[stage1] epoch 1/150 step 15 | loss 344803.7039 | w [15.0, 8.0, 1.0] | train det 0.8685 seg 0.6822 cnt 344785.2188
[stage1] epoch 1/150 step 16 | loss 296998.2377 | w [15.0, 8.0, 1.0] | train det 0.7836 seg 0.8848 cnt 296979.4062
[stage1] epoch 1/150 step 17 | loss 294700.9755 | w [15.0, 8.0, 1.0] | train det 1.0080 seg 1.2164 cnt 294676.1250
[stage1] epoch 1/150 step 18 | loss 302864.6067 | w [15.0, 8.0, 1.0] | train det 0.9017 seg 0.4555 cnt 302847.4375
[stage1] epoch 1/150 step 19 | loss 272880.9525 | w [15.0, 8.0, 1.0] | train det 1.0956 seg 0.6977 cnt 272858.9375
[stage1] epoch 1/150 step 20 | loss 230661.4222 | w [15.0, 8.0, 1.0] | train det 0.8770 seg 0.6428 cnt 230643.1250
[stage1] epoch 1/150 step 21 | loss 217453.6990 | w [15.0, 8.0, 1.0] | train det 0.9786 seg 0.5610 cnt 217434.5312
[stage1] epoch 1/150 step 22 | loss 192755.4521 | w [15.0, 8.0, 1.0] | train det 0.8603 seg 0.7559 cnt 192736.5000
[stage1] epoch 1/150 step 23 | loss 189069.0489 | w [15.0, 8.0, 1.0] | train det 0.9422 seg 0.7551 cnt 189048.8750
[stage1] epoch 1/150 step 24 | loss 166469.3858 | w [15.0, 8.0, 1.0] | train det 1.0702 seg 0.6314 cnt 166448.2812
[stage1] epoch 1/150 step 25 | loss 166173.0604 | w [15.0, 8.0, 1.0] | train det 0.9433 seg 1.0983 cnt 166150.1250
[stage1] epoch 1/150 step 26 | loss 149436.5677 | w [15.0, 8.0, 1.0] | train det 0.8673 seg 0.3197 cnt 149421.0000
