WARNING:__main__:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[rank4]:[W417 15:37:04.095029688 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 4]  using GPU 4 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank3]:[W417 15:37:05.787099959 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank1]:[W417 15:37:05.796128436 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank2]:[W417 15:37:05.834963967 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank6]:[W417 15:37:05.835053363 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 6]  using GPU 6 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W417 15:37:05.835091245 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank7]:[W417 15:37:05.844097736 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 7]  using GPU 7 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank5]:[W417 15:37:05.857801930 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 5]  using GPU 5 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
swanlab: swanlab version 0.7.15 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/runs/415_20per/swanlog/run-20260417_153720
-pmnj3b6gpd7sla85lbzym
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 415_20per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at 
https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/pmnj3b6gpd7sla85lbzym
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[stage1] epoch 1/100 step 1 | loss 1152617.0666 | w [15.0, 8.0, 1.0] | train det 3.8958 seg 2.5474 cnt 1152538.2500
[stage1] epoch 1/100 step 2 | loss 1403651.9171 | w [15.0, 8.0, 1.0] | train det 3.6199 seg 1.6085 cnt 1403584.7500
[stage1] epoch 1/100 step 3 | loss 1067181.2557 | w [15.0, 8.0, 1.0] | train det 3.3407 seg 1.4088 cnt 1067119.8750
[stage1] epoch 1/100 step 4 | loss 971113.6870 | w [15.0, 8.0, 1.0] | train det 3.1333 seg 1.0859 cnt 971058.0000
[stage1] epoch 1/100 step 5 | loss 981445.0095 | w [15.0, 8.0, 1.0] | train det 3.1783 seg 1.0888 cnt 981388.6250
[stage1] epoch 1/100 step 6 | loss 845564.5270 | w [15.0, 8.0, 1.0] | train det 2.1822 seg 1.5601 cnt 845519.3125
[stage1] epoch 1/100 step 7 | loss 798362.3212 | w [15.0, 8.0, 1.0] | train det 1.7671 seg 1.2580 cnt 798325.7500
[stage1] epoch 1/100 step 8 | loss 728177.5336 | w [15.0, 8.0, 1.0] | train det 1.1042 seg 1.8556 cnt 728146.1250
[stage1] epoch 1/100 step 9 | loss 626482.5856 | w [15.0, 8.0, 1.0] | train det 0.8624 seg 0.9406 cnt 626462.1250
[stage1] epoch 1/100 step 10 | loss 627168.7090 | w [15.0, 8.0, 1.0] | train det 1.3247 seg 0.5736 cnt 627144.2500
[stage1] epoch 1/100 step 11 | loss 551088.7947 | w [15.0, 8.0, 1.0] | train det 1.2277 seg 0.8287 cnt 551063.7500
[stage1] epoch 1/100 step 12 | loss 528412.3478 | w [15.0, 8.0, 1.0] | train det 0.9919 seg 0.9024 cnt 528390.2500
[stage1] epoch 1/100 step 13 | loss 470618.1218 | w [15.0, 8.0, 1.0] | train det 0.9932 seg 0.9029 cnt 470596.0000
[stage1] epoch 1/100 step 14 | loss 456716.7334 | w [15.0, 8.0, 1.0] | train det 1.1660 seg 0.9679 cnt 456691.5000
[stage1] epoch 1/100 step 15 | loss 420484.4178 | w [15.0, 8.0, 1.0] | train det 1.2317 seg 1.0553 cnt 420457.5000
[stage1] epoch 1/100 step 16 | loss 402957.0882 | w [15.0, 8.0, 1.0] | train det 0.8562 seg 1.0385 cnt 402935.9375
[stage1] epoch 1/100 step 17 | loss 344898.4840 | w [15.0, 8.0, 1.0] | train det 1.1537 seg 0.6356 cnt 344876.0938
[stage1] epoch 1/100 step 18 | loss 318548.0290 | w [15.0, 8.0, 1.0] | train det 0.7549 seg 0.5490 cnt 318532.3125
[stage1] epoch 1/100 step 19 | loss 299280.9128 | w [15.0, 8.0, 1.0] | train det 1.4337 seg 0.8985 cnt 299252.2188
[stage1] epoch 1/100 step 20 | loss 290787.7058 | w [15.0, 8.0, 1.0] | train det 0.9548 seg 0.5207 cnt 290769.2188
[stage1] epoch 1/100 step 21 | loss 276357.2825 | w [15.0, 8.0, 1.0] | train det 0.8432 seg 0.5560 cnt 276340.1875
[stage1] epoch 1/100 step 22 | loss 245086.4453 | w [15.0, 8.0, 1.0] | train det 0.9639 seg 0.6605 cnt 245066.7031
[stage1] epoch 1/100 step 23 | loss 254633.7843 | w [15.0, 8.0, 1.0] | train det 0.7826 seg 0.7713 cnt 254615.8750
[stage1] epoch 1/100 step 24 | loss 217481.7823 | w [15.0, 8.0, 1.0] | train det 0.6906 seg 0.4513 cnt 217467.8125
[stage1] epoch 1/100 step 25 | loss 196398.9839 | w [15.0, 8.0, 1.0] | train det 0.7607 seg 0.5405 cnt 196383.2500
