WARNING:__main__:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[rank6]:[W417 15:37:35.831615158 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 6]  using GPU 6 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank5]:[W417 15:37:35.174194294 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 5]  using GPU 5 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank4]:[W417 15:37:35.185987166 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 4]  using GPU 4 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W417 15:37:35.300604432 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank1]:[W417 15:37:35.310268330 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank2]:[W417 15:37:35.359297402 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank3]:[W417 15:37:35.382862206 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank7]:[W417 15:37:35.425134199 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 7]  using GPU 7 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/runs/415_50per/swanlog/run-20260417_153750
-c8lmxz41j3cldma6ylxeq
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 415_50per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at 
https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/c8lmxz41j3cldma6ylxeq
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[stage1] epoch 1/100 step 1 | loss 1126983.7174 | w [15.0, 8.0, 1.0] | train det 3.9819 seg 2.3735 cnt 1126905.0000
[stage1] epoch 1/100 step 2 | loss 1330998.9694 | w [15.0, 8.0, 1.0] | train det 3.6535 seg 1.3178 cnt 1330933.6250
[stage1] epoch 1/100 step 3 | loss 1123494.7796 | w [15.0, 8.0, 1.0] | train det 3.3488 seg 1.2248 cnt 1123434.7500
[stage1] epoch 1/100 step 4 | loss 968497.3677 | w [15.0, 8.0, 1.0] | train det 3.0190 seg 1.4714 cnt 968440.3125
[stage1] epoch 1/100 step 5 | loss 984103.8926 | w [15.0, 8.0, 1.0] | train det 2.8160 seg 1.1831 cnt 984052.1875
[stage1] epoch 1/100 step 6 | loss 859036.0646 | w [15.0, 8.0, 1.0] | train det 2.0953 seg 1.3997 cnt 858993.4375
[stage1] epoch 1/100 step 7 | loss 715126.2081 | w [15.0, 8.0, 1.0] | train det 1.9010 seg 0.8913 cnt 715090.5625
[stage1] epoch 1/100 step 8 | loss 686102.0181 | w [15.0, 8.0, 1.0] | train det 1.1835 seg 1.1426 cnt 686075.1250
[stage1] epoch 1/100 step 9 | loss 635758.7090 | w [15.0, 8.0, 1.0] | train det 1.0780 seg 1.0440 cnt 635734.1875
[stage1] epoch 1/100 step 10 | loss 624504.2864 | w [15.0, 8.0, 1.0] | train det 1.0593 seg 1.0028 cnt 624480.3750
[stage1] epoch 1/100 step 11 | loss 548639.9543 | w [15.0, 8.0, 1.0] | train det 0.9997 seg 0.7214 cnt 548619.1875
[stage1] epoch 1/100 step 12 | loss 542265.5387 | w [15.0, 8.0, 1.0] | train det 0.7769 seg 0.8606 cnt 542247.0000
[stage1] epoch 1/100 step 13 | loss 473978.5238 | w [15.0, 8.0, 1.0] | train det 1.5059 seg 1.1872 cnt 473946.4375
[stage1] epoch 1/100 step 14 | loss 443819.2486 | w [15.0, 8.0, 1.0] | train det 0.8009 seg 0.8107 cnt 443800.7500
[stage1] epoch 1/100 step 15 | loss 427698.9192 | w [15.0, 8.0, 1.0] | train det 1.1003 seg 1.0949 cnt 427673.6562
[stage1] epoch 1/100 step 16 | loss 396399.7576 | w [15.0, 8.0, 1.0] | train det 0.6921 seg 1.1955 cnt 396379.8125
[stage1] epoch 1/100 step 17 | loss 344726.1824 | w [15.0, 8.0, 1.0] | train det 0.7442 seg 0.8228 cnt 344708.4375
[stage1] epoch 1/100 step 18 | loss 324121.0179 | w [15.0, 8.0, 1.0] | train det 1.2782 seg 0.9649 cnt 324094.1250
[stage1] epoch 1/100 step 19 | loss 306536.9788 | w [15.0, 8.0, 1.0] | train det 0.7683 seg 1.0764 cnt 306516.8438
[stage1] epoch 1/100 step 20 | loss 302099.0591 | w [15.0, 8.0, 1.0] | train det 1.3042 seg 0.7885 cnt 302073.1875
[stage1] epoch 1/100 step 21 | loss 267218.5433 | w [15.0, 8.0, 1.0] | train det 1.0436 seg 0.7909 cnt 267196.5625
[stage1] epoch 1/100 step 22 | loss 245966.3847 | w [15.0, 8.0, 1.0] | train det 0.8667 seg 1.0872 cnt 245944.6875
[stage1] epoch 1/100 step 23 | loss 240045.6249 | w [15.0, 8.0, 1.0] | train det 0.8682 seg 0.7275 cnt 240026.7812
[stage1] epoch 1/100 step 24 | loss 222188.1473 | w [15.0, 8.0, 1.0] | train det 0.7532 seg 1.3815 cnt 222165.7969
[stage1] epoch 1/100 step 25 | loss 185899.6799 | w [15.0, 8.0, 1.0] | train det 1.9887 seg 0.5905 cnt 185865.1250
